"","Recipient","Democracy.Score","Political.Rights","Civil.Liberties","X2019.FDI.Inflows","X2019.GNI.Per.Capita","X2018.Health.Expenditures","X2020.Population","Ready.Score","Prevent.Score","Detect.Score","Respond.Score","other","Amount.Committed.Individual","Amount.Disbursed.Individual","Projects","Democracy.Category","Cases","Deaths","Per.Capita.Committed","Per.Capita.Disbursed","Per.Capita.Cases","Per.Capita.Deaths","Per.hundredk.Cases","Per.hundredk.Deaths","country_code","2015 Dev. Asst.","2016 Dev. Asst.","2017 Dev. Asst.","2018 Dev. Asst.","2019 Dev. Asst."
"37","Liberia",60,27,33,86681700.46,580,45.42477798,5057677,46,42,48,64,23,106430482.469583,65169410.9495833,45,"Partly Free",5799,286,21.0433529997237,12.8852457263648,0.00114657381244393,0.0000565476996652811,114.657381244393,5.65476996652811,"LBR",1094430054,819179992.7,631590026.9,573229980.5,597309997.6
"38","Libya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24944701.25,22959392.3384242,22,"Not Free",342558,4702,NA,NA,NA,NA,NA,NA,"LBY",157369995.1,179490005.5,431869995.1,303440002.4,316010009.8
"39","Madagascar",60,27,33,474311425.4,510,22.0497551,27691019,37,38,51,33,23,234509577.06,28342336.73,33,"Partly Free",42898,958,8.46879549864163,1.02352090148795,0.00154916653663052,0.0000345960544102765,154.916653663052,3.45960544102765,"MDG",677510009.8,621580017.1,779039978,695840026.9,756169982.9
"40","Malawi",66,29,37,98422743.26,550,35.49821854,19129955,30,31,41,26,20,113850715.959755,109830488.876078,56,"Partly Free",61619,2284,5.95143668449585,5.74128318002203,0.0032210739648891,0.000119393903435737,322.10739648891,11.9393903435737,"MWI",1049380005,1241609985,1520439941,1279310059,1206219971
"41","Malaysia",51,21,30,9101052111,11230,427.217041,32365998,84,83,83,89,83,827813.208888889,1372036.71111111,8,"Partly Free",2285640,26759,0.0255766316517998,0.0423912993849629,0.0706185546943431,0.000826762703254199,7061.85546943431,82.6762703254199,"MYS",-600000.0238,-51819999.69,-29250000,-34549999.24,5989999.771
"42","Maldives",40,19,21,961146508.8,9670,973.5369263,540542,47,58,58,35,27,96901787.75125,58132008.515,12,"Partly Free",85107,232,179.26782331669,107.543925384151,0.157447524891683,0.000429198841163129,15744.7524891683,42.9198841163129,"MDV",23989999.77,22709999.08,46479999.54,131429992.7,72080001.83
"43","Mali",33,9,24,493823353.8,870,34.95166016,20250834,35,34,52,33,20,182706681.253782,153810477.480449,74,"Not Free",15303,550,9.02218058050261,7.59526632238696,0.000755672581188508,0.0000271593752632608,75.5672581188508,2.71593752632608,"MLI",1201640015,1205160034,1360079956,1499569946,1863209961
"44","Marshall Islands",93,38,55,4177233.798,5010,643.065918,59194,51,44,60,60,37,40529732,12974905.8866667,8,"Free",4,0,684.693245937088,219.192923044002,0.000067574416325979,0,6.7574416325979,0,"MHL",57060001.37,12560000.42,72510002.14,54389999.39,65970001.22
"45","Mauritania",35,14,21,-883561115.8,1660,54.48972321,4649660,38,39,52,30,33,95229022.1608333,67357431.3808333,27,"Partly Free",36163,778,20.4808571295177,14.4865283441872,0.00777755792896685,0.000167324062404563,777.755792896685,16.7324062404563,"MRT",329459991.5,307290008.5,291730011,448380004.9,412179992.7
"46","Mauritius",87,37,50,472302807.1,12900,653.347229,1265740,60,58,59,60,70,228180129.8,221686994.45,8,"Free",15776,90,180.274092467647,175.144180044875,0.0124638551361259,0.000071104650244126,1246.38551361259,7.1104650244126,"MUS",78419998.17,42340000.15,14630000.11,69180000.31,22180000.31
